,location,description,price,no_beds,square_foot,Type,Furnishing,building,place
167,"Maruthi Nagar, Bapu nagar,Hyderabad","Here is an excellent 2 BHK Apartment available for rent in Hyderabad. Surrounded by natural greens and equipped with numerous amenities, this rented 2 BHK house offers a comfortable lifestyle for families. It is a spacious property nestled in Langar House that enjoys good connectivity to major landmarks of the city. The Apartment is on the 2 floor. There is a total of 3 floors. The Apartment is designed as per modern construction standards. It has 2 bedrooms and 2 bathroom. It is East facing. The 2 BHK unit is thoughtfully designed to meet the space needs of a modern family and allows ample su...Read more","13,500",2,1200,Flat, Semi Furnished ,Maruthi Nagar, Bapu nagar
168,"Aparna Shangri La,Gachibowli, Hyderabad","Semi-furnished property near your office location at best price. Rent this Villa that matches your requirements and budget. Looking for affordably priced 4 BHK on rent? This East facing property has 5 baths, servant room and is 9 years old. Homes that define aspirational lifestyle now in Hyderabad. Find best property at affordable rates in Gachibowli. Amount of Rs 255000 will be collected from tenant as security charges. Rent value of Rs 85000 is expected. Your search for a spacious 3600 sq ft built up area property at an affordable price ends right here. This property is ready to move in from...Read more","85,000",4,3600,Villa, Semi Furnished ,Aparna Shangri La, Gachibowli
169,"Madinaguda, Miyapur,Hyderabad","Make this splendid 2 BHK Apartment your home. Spacious Semi-furnished property is now available at affordable rent. Find best property at affordable rates in Hafeezpet. The property is on the floor number 3 in a building which has 5 floors. Affordable properties now on rent in Hyderabad. Rs 36000 will be taken as security money. Property available for property at Rs 18000. Contact for best deal.   This is a beautiful, spacious 1140 sq ft built up area property available within your price range. This time shift to a spacious 1140 sq ft (Carpet Area) property available at an affordable rent. It ...Read more","18,000",2,1140,Flat, Semi Furnished ,Madinaguda, Miyapur
170,"Suchirindia Timber Leaf,Sathamrai Village, Hyderabad","Suchirindia Infratech Timber Leaf in Shamshabad,& Hyderabad offers delightful villas. The project is ready to move into. It is a community complex, designed to create an environment that elevates life to a joyful experience. The homes have fine aesthetics and designer finishes. Villas are available through the builder as well as via resale. Several amenities are present for the community, including multipurpose room, sports facility, children play area, gymnasium, swimming pool, club house, and round the clock security, amongst others. Prices of the villas are available on request. It is a fas...Read more","50,000",5,3500,Villa, Unfurnished ,Suchirindia Timber Leaf, Sathamrai Village
171,"Mudfort, Gunrock Enclave,Hyderabad","This independant house is located in the posh neighbourhood of gunrock enclave phase 1,this g+1 house is around 2800sft and is built on 250 sq yrds, with 3 bedrooms, 4 bathrooms, living, dining , hall, kitchen. Read more","40,000",3,2800,Independent, Fully Furnished ,Mudfort, Gunrock Enclave
172,"j k project,Dundigal, Hyderabad","1,2,3, bhk flat for sell stating 26laksRead more","20,000",3,1200,Flat, Semi Furnished ,j k project, Dundigal
173,"Mpr residency,Ashok Nagar, Himayath Nagar,Hyderabad","Rent 3 BHK near your office location. Rent this Apartment that matches your requirements and budget. It is beautiful Semi-furnished property. Budget properties on rent is now in Hyderabad. Affordable rental property available in Himayat Nagar, check out now. The property is on the floor number 3 in a building which has 3 floors. This luxurious property is available at an affordable rent of Rs 25500. Rs 60000 will be taken as security money. Check out this affordable property with built up area of 1600 sq ft on rent. 3 separate bath is provided. Check out these 24 photos for this affordable pro...Read more","25,500",3,1600,Flat, Semi Furnished ,Mpr residency, Himayath Nagar
174,"Industrial Development Area, Jeedimetla,Hyderabad","Check out this Independent Floor available for rent in Chinthal in Hyderabad. It is a 1 BHK unit that comes at an affordable rent, with modern features and premium amenities to suit your lifestyle needs. The unit is Furnished. With numerous new-age amenities and green surroundings, this Independent Floor provides a convenient lifestyle for residents. A spacious house for your family, this unit includes 1 bedroom. There are 1 bathroom and 1 balcony. It has a built-up area of 1000 Square feet. The carpet area is 1000 Square feet. The Independent Floor is built on 1 floor. The building has a tota...Read more","12,000",1,1000,Independent, Unfurnished ,Industrial Development Area, Jeedimetla
175,"Raidurgam ,Rai Durg, Hyderabad","Check out this Apartment available for rent in Rai durg in Hyderabad. It is a 2 BHK unit that comes at an affordable rent, with modern features and premium amenities to suit your lifestyle needs. The unit is Furnished. With numerous new-age amenities and green surroundings, this Apartment provides a convenient lifestyle for residents. A spacious house for your family, this unit includes 2 bedrooms. There are 2 bathroom and 0 balcony. It has a built-up area of 1050 Square feet. The carpet area is 1000 Square feet. The Apartment is built on 1 floor. The building has a total of 3 floors. The mont...Read more","10,000",2,1050,Flat, Unfurnished ,Raidurgam , Rai Durg
176,"My Home Vihanga,Gachibowli, Hyderabad","This is a modern and stylish home available for affordable rent in Hyderabad. It is a 3 BHK Apartment situated at Gachibowli. Designed to meet your lifestyle needs, the Apartment provides a range of modern amenities for the comfort of the residents. It is Furnished. Modern home seekers will experience a comfortable living in this 3 BHK property. The Apartment is on 1 floor, and the total number of floors is 14. The 3 BHK unit is elegantly designed to meet your housing needs. The Apartment has 3 bedrooms. It has 3 bathroom. The 3 BHK unit also includes 3 balcony giving splendid views of the sur...Read more","38,000",3,2160,Flat, Semi Furnished ,My Home Vihanga, Gachibowli
177,"Domalguda, Himayath Nagar,Hyderabad","This is a good 2 BHK Independent Floor that is Fully Furnished. The property is on the floor number 1 in a building which has 1 floors. Property for rent available in Himayat Nagar. Luxury lifestyle in the heart of Hyderabad available now. Fee of Rs 60000 for security charges apply. Monthly rent of Rs 30000 is applicable. Best 1200 sq ft built up area property available at best rent, your search ends right here. Your search for affordable home ends right here! Check out these 18 pictures. Best tiles in all 2 bathrooms. This property is located very close to and will be available on rent from 2...Read more","30,000",2,1200,Independent, Fully Furnished ,Domalguda, Himayath Nagar
178,"Saboori Enclave,Whitefields, Kondapur,Hyderabad","3 bedroom, 3 bath with ACs in all bedrooms. This flat is ideally located to all IT companies. Just 1 min walk to the main hitec city road and to google office.Read more","27,000",3,1710,Flat, Semi Furnished ,Saboori Enclave, Kondapur
179,"Moula Ali, Hyderabad","Searching for Apartment that suits your needs? Your wait ends here. Check out this sprawling 3 BHK property available for rent. Best Unfurnished property available here. The property is on the floor number 2 in a building which has 3 floors. Homes for rent available in Hyderabad. Affordable rental house available in Moula Ali. Fabulous property available for rent at an affordable price of Rs 13000. Security amount of Rs 25000 is fixed. Rent this 1200 sq ft built up area property at an affordable price. This modern 1200 sq ft (Carpet Area) property is available at economical price. Beautiful, m...Read more","13,000",3,1200,Flat, Unfurnished ,Moula Ali, Moula Ali
180,"Emerald Heights,Annojiguda, Badesahebguda,Hyderabad",Excellent Fully Furnished Flat with Powder Back Up in Gated Community. Full Secirity. All Services. Read more,"7,500",2,947,Flat, Fully Furnished ,Emerald Heights, Badesahebguda
181,"AP Animal Husbandry Employees Colony, Shaikpet,Hyderabad","It is a beautiful Apartment. This Fully Furnished property speaks of a bespoke lifestyle. Make it yours. Enviable homes for rent available, grab your favourite 1 BHK property now. Affordable properties now on rent in Hyderabad. The property is on floor number 1 in a building with 3 floors. Spacious property available for rent only in Shaikpet. Monthly rent of Rs 17000 is applicable. One month's rent, which is Rs 17000, will be collected as security charges. This modern 750 sq ft (Carpet Area) property is available at economical price. Best 1200 sq ft built up area property available at best re...Read more","17,000",1,1200,Flat, Fully Furnished ,AP Animal Husbandry Employees Colony, Shaikpet
182,"SBI Colony, Kothapet,Hyderabad","Spacious 2 BHK property available for rent. Property for rent available. Contact for Semi-furnished property. Independent Floor for rent at a location you have always aspired to live in. The property is on floor number 2 in a building with 3 floors. Affordable properties now on rent in Hyderabad. Property for rent available at unbeatable price in Kothapet, check out now. Monthly rent of Rs 14500 is applicable. Security amount of Rs 30000 is fixed. Check out this 800 sq ft built up area property, available at an affordable rent. All bedrooms have 2 bathroom attached. Check out 15 photographs of...Read more","14,500",2,800,Independent, Semi Furnished ,SBI Colony, Kothapet
183,"Ambedkar Nagar, Masab Tank,Hyderabad","There are 2 bedrooms , 2 bathrooms , 1 big hall & 1bedroom/waiting room , Total 4 rooms & a separatee utility & washing area with 3 balconies & rooftop terrace & open ventilation., Prime Location opposite to University of Science College, Saifabad, Masab Tank.Read more","22,000",2,1215,Independent, Semi Furnished ,Ambedkar Nagar, Masab Tank
184,"Sampada Sampada Homes,Manneguda, Hyderabad","This is a 3 BHK Semi-furnished Villa available for rent. Luxury lifestyle in the heart of Hyderabad available now. Affordable rental house available in Manneguda. Rent value of Rs 20000 is expected. Fee of Rs 40000 for security charges apply. Rent this 2200 sq ft built up area property at an affordable price. Beautiful, modern home available at affordable rent, check these 33 photographs. Spacious 4 bathroom for all rooms. Property on rent near metro is available from 2022-02-01. This property ensures you are a quick distance away from city's best schools such as The Thapovan Residential High ...Read more","20,000",3,2200,Villa, Semi Furnished ,Sampada Sampada Homes, Manneguda
185,"Prestige High Fields Ph II,Secretariat Employees Colony, Puppalaguda,Hyderabad","This is a modern and stylish home available for affordable rent in Hyderabad. It is a 3 BHK Apartment situated at Puppalguda. Designed to meet your lifestyle needs, the Apartment provides a range of modern amenities for the comfort of the residents. It is Furnished. Modern home seekers will experience a comfortable living in this 3 BHK property. The Apartment is on 31 floor, and the total number of floors is 34. The 3 BHK unit is elegantly designed to meet your housing needs. The Apartment has 3 bedrooms. It has 2 bathroom. The 3 BHK unit also includes 1 balcony giving splendid views of the su...Read more","45,000",3,1492,Flat, Semi Furnished ,Prestige High Fields Ph II, Puppalaguda
